"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2017-10-01","89.0","3.8359","4.2788","Tony Kemp",643393,582494,"field_out","hit_into_play",,,,,12,"Tony Kemp grounds out softly, third baseman Rafael Devers to first baseman Sam Travis.  ","R","L","L","BOS","HOU","X",5,"ground_ball",2,0,2017,"1.5323","0.8781","0.6844","3.3573","null","null","null",0,6,"Top","111.34","172.55",,,506702,,"null","-10.7863","-128.7449","2.0198","19.1539","27.6616","-23.1958","2.8055","1.1775","10","47.1","-17.3","88.0250","2225","6.0780",492520,582494,506702,607752,571788,646240,571918,434658,598265,455759,"54.4217","0.100","0.098","0.00",1,0,0,1,41,"3","Sinker",3,0,0,3,0,3,0,3,"Standard","Standard"
"SI","2017-10-01","89.1","3.9985","4.0858","Derek Fisher",605233,582494,"null","foul",,,,,12,"null","R","L","L","BOS","HOU","S","null","null",3,1,2017,"1.5555","0.9133","0.9543","2.9803","null","null","null",1,5,"Top","null","null",,,506702,,"null","-10.7163","-129.1966","1.4231","19.6685","26.4067","-22.4105","3.4194","1.2350","149","66.2","24.5","89.0540","2232","6.4080",492520,582494,506702,607752,571788,646240,571918,434658,598265,455759,"54.0925","null","null","null","null","null","null","null",35,"5","Sinker",3,0,0,3,0,3,0,3,"Standard","Standard"
"SI","2017-10-01","88.9","4.0163","4.1720","Derek Fisher",605233,582494,"null","ball",,,,,14,"null","R","L","L","BOS","HOU","B","null","null",1,1,2017,"1.3077","0.2636","1.7940","2.4701","null","null","null",1,5,"Top","null","null",,,506702,,"null","-8.1956","-129.1210","1.3490","16.3964","27.4023","-29.7184","3.6880","1.6159","null","null","null","88.9350","1994","6.4540",492520,582494,506702,607752,571788,646240,571918,434658,598265,455759,"54.0463","null","null","null","null","null","null","null",35,"3","Sinker",3,0,0,3,0,3,0,3,"Standard","Standard"
"SI","2017-10-01","88.6","3.9623","4.1343","Derek Fisher",605233,582494,"null","ball",,,,,14,"null","R","L","L","BOS","HOU","B","null","null",0,1,2017,"1.5869","0.1875","1.3965","1.5352","null","null","null",1,5,"Top","null","null",,,506702,,"null","-9.6027","-128.5265","-0.6460","19.7079","26.8398","-30.1530","3.6992","1.7166","null","null","null","88.7350","2010","6.5550",492520,582494,506702,607752,571788,646240,571918,434658,598265,455759,"53.9447","null","null","null","null","null","null","null",35,"2","Sinker",3,0,0,3,0,3,0,3,"Standard","Standard"
"SI","2017-10-01","88.3","3.7233","4.2337","Juan Centeno",518542,582494,"null","called_strike",,,,,6,"null","R","L","L","BOS","HOU","S","null","null",0,0,2017,"1.3738","0.2996","0.4232","2.0425","null","null","null",0,5,"Top","null","null",,,506702,,"null","-10.8421","-127.8911","0.1764","17.3317","26.4906","-29.1343","2.9599","1.3792","null","null","null","88.0280","1926","6.3790",492520,582494,506702,607752,571788,646240,571918,434658,598265,455759,"54.1206","null","null","null","null","null","null","null",34,"1","Sinker",3,0,0,3,0,3,0,3,"Standard","Standard"
"SI","2017-10-01","89.1","-1.5694","5.6192","J.D. Davis",605204,584171,"field_out","hit_into_play",,,,,7,"J.  D.   Davis lines out to right fielder Chris Young.  ","R","R","R","BOS","HOU","X",9,"line_drive",0,0,2017,"-1.2683","0.7625","-0.4967","1.7832","null",608324,503556,2,4,"Top","202.51","113.03",,,506702,,"null","5.3243","-129.4451","-5.0138","-15.4774","26.6117","-22.6957","3.5462","1.3135","279","92.6","20.1","89.4750","2038","6.5690",492520,584171,506702,607752,571788,646240,571918,434658,598265,455759,"53.9307","0.272","0.333","0.00",1,0,0,4,26,"1","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2017-10-01","89.9","-1.6039","5.6472","Marwin Gonzalez",503556,584171,"null","ball",,,,,14,"null","R","L","R","BOS","HOU","B","null","null",0,0,2017,"-1.2379","0.8261","0.9655","2.2469","null","null",608324,2,4,"Top","null","null",,,506702,,"null","9.0356","-130.5032","-4.2474","-16.1216","25.3911","-21.9469","3.6209","1.6532","null","null","null","90.5280","2071","6.6290",492520,584171,506702,607752,571788,646240,571918,434658,598265,455759,"53.8707","null","null","null","null","null","null","null",25,"1","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2017-10-01","88.2","-1.6767","5.5876","Tyler White",643603,584171,"null","called_strike",,,,,8,"null","R","R","R","BOS","HOU","S","null","null",1,1,2017,"-1.4279","0.6989","0.0136","1.5890","null","null",608324,1,4,"Top","null","null",,,506702,,"null","7.1362","-128.1714","-5.1459","-17.3756","25.0565","-23.5326","3.2343","1.5116","null","null","null","88.9060","1987","6.6740",492520,584171,506702,607752,571788,646240,571918,434658,598265,455759,"53.8260","null","null","null","null","null","null","null",24,"3","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2017-10-01","89.8","-1.5083","5.5834","Tyler White",643603,584171,"null","ball",,,,,12,"null","R","R","R","BOS","HOU","B","null","null",0,1,2017,"-1.1136","0.8125","1.0807","2.8001","null","null",608324,1,4,"Top","null","null",,,506702,,"null","8.7933","-130.4760","-2.6937","-14.5496","24.2147","-22.4302","3.1112","1.3884","null","null","null","90.5200","2080","6.5420",492520,584171,506702,607752,571788,646240,571918,434658,598265,455759,"53.9582","null","null","null","null","null","null","null",24,"2","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2017-10-01","89.0","-1.5304","5.8105","Carlos Beltran",136860,584171,"null","ball",,,,,14,"null","R","L","R","BOS","HOU","B","null","null",2,1,2017,"-1.1642","0.8379","1.5642","2.2882","null","null","null",1,4,"Top","null","null",,,506702,,"null","10.1238","-129.1097","-4.4429","-15.2097","23.8781","-21.9236","3.5951","1.6856","null","null","null","89.9710","2025","6.7980",492520,584171,506702,607752,571788,646240,571918,434658,598265,455759,"53.7019","null","null","null","null","null","null","null",23,"4","Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"SI","2017-10-01","90.6","-1.6956","5.6855","Yuli Gurriel",493329,584171,"null","ball",,,,,12,"null","R","R","R","BOS","HOU","B","null","null",0,1,2017,"-1.3050","1.1063","0.6717","3.7824","null","null","null",0,4,"Top","null","null",,,506702,,"null","8.7207","-131.5916","-1.2141","-17.0613","26.0749","-19.1252","3.5662","1.6175","null","null","null","91.0900","2053","6.5330",492520,584171,506702,607752,571788,646240,571918,434658,598265,455759,"53.9672","null","null","null","null","null","null","null",22,"2","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2017-10-01","89.1","-1.6028","5.8485","Juan Centeno",518542,584171,"null","called_strike",,,,,12,"null","R","L","R","BOS","HOU","S","null","null",0,0,2017,"-1.0681","0.9559","0.0025","3.3635","null","null","null",0,3,"Top","null","null",,,506702,,"null","6.2238","-129.4994","-2.1533","-13.3928","24.2023","-21.0057","2.8591","1.2288","null","null","null","89.9350","2017","6.6260",492520,584171,506702,607752,571788,646240,571918,434658,598265,455759,"53.8745","null","null","null","null","null","null","null",15,"1","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2017-10-01","90.1","-1.5522","5.6952","J.D. Davis",605204,584171,"double_play","hit_into_play",,,,,6,"J.  D.   Davis flies into a double play, right fielder Chris Young to shortstop Deven Marrero.   Marwin Gonzalez out at 2nd.  ","R","R","R","BOS","HOU","X",9,"fly_ball",1,0,2017,"-1.0809","1.0146","0.3179","2.5917","null","null",503556,1,2,"Top","205.79","103.29",,,506702,,"null","7.0219","-130.9544","-3.9627","-14.0945","26.9212","-19.6719","3.5464","1.3137","293","98.1","48.3","90.9150","2174","6.7830",492520,584171,506702,607752,571788,646240,571918,434658,598265,455759,"53.7169","0.009","0.013","0.00",1,0,0,3,11,"2","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2017-10-01","90.2","-1.5528","5.7964","J.D. Davis",605204,584171,"null","ball",,,,,14,"null","R","R","R","BOS","HOU","B","null","null",0,0,2017,"-1.3291","0.9374","1.0729","2.0704","null","null",503556,1,2,"Top","null","null",,,506702,,"null","9.4078","-130.8110","-5.3151","-17.4005","27.0002","-20.3669","3.6806","1.6720","null","null","null","90.6250","2153","6.6780",492520,584171,506702,607752,571788,646240,571918,434658,598265,455759,"53.8215","null","null","null","null","null","null","null",11,"1","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
