,Homecount,Homebarrelcount,Homebarrelrate2017
AJ Reed,4,0,0
Alex Bregman,158,18,0.113924051
Brian McCann,86,14,0.162790698
Cameron Maybin,17,0,0
Carlos Beltran,130,18,0.138461538
Carlos Correa,108,13,0.12037037
Derek Fisher,48,2,0.041666667
Evan Gattis,70,10,0.142857143
George Springer,175,18,0.102857143
J.D. Davis,12,3,0.25
Jake Marisnick,64,5,0.078125
Jose Altuve,144,16,0.111111111
Josh Reddick,118,13,0.110169492
Juan Centeno,19,2,0.105263158
Marwin Gonzalez,131,17,0.129770992
Max Stassi,6,0,0
Norichika Aoki,48,3,0.0625
Tony Kemp,11,2,0.181818182
Tyler White,17,3,0.176470588
Yuli Gurriel,147,21,0.142857143
